,Отметка времени,Сколько вам лет?,Какие у вас источники дохода?,"Клиентом какого банка вы являетесь (если нескольких, то укажите всех)?",Пользуетесь ли вы кредитной картой?,Сколько банковских карт вы имеете?
30,2020/03/24 11:52:52 PM GMT+3,21-23,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ;Альфа-Банк;Другой,"Не пользуюсь, не хочу открывать",5.0
31,2020/03/24 11:54:33 PM GMT+3,18-20,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк,"Пользуюсь, буду продолжать",1.0
32,2020/03/24 11:55:21 PM GMT+3,21-23,"Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Тинькофф,"Не пользуюсь, не хочу открывать",2.0
33,2020/03/24 11:55:29 PM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ,"Пользуюсь, буду продолжать",3.0
34,2020/03/24 11:56:30 PM GMT+3,18-20,"Стипендия;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;Альфа-Банк,"Не пользуюсь, не хочу открывать",2.0
35,2020/03/24 11:56:41 PM GMT+3,21-23,Зарплата,Сбербанк;Тинькофф,"Пользуюсь, буду продолжать",4.0
36,2020/03/24 11:56:47 PM GMT+3,24-26,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.",Сбербанк;ВТБ;Альфа-Банк,"Пользуюсь, планирую закрыть",3.0
37,2020/03/24 11:57:16 PM GMT+3,24-26,Зарплата,Сбербанк,"Не пользуюсь, не хочу открывать",1.0
38,2020/03/24 11:57:22 PM GMT+3,18-20,Стипендия;Зарплата,Сбербанк;ВТБ;Альфа-Банк,"Пользуюсь, буду продолжать",4.0
39,2020/03/24 11:57:31 PM GMT+3,18-20,"Зарплата;Финансовая поддержка от родителей, других родственников и т.д.;Другое",Сбербанк;Тинькофф,"Пользуюсь, буду продолжать",2.0
